Phase,FileName,CC,MSE,SSIM
phase2-1,phase2-1_input0045-modality0-WarpedToTemplate.nii.gz,0.979384703650029,0.015415393431785345,0.8909204882251602
phase2-1,phase2-1_input0027-modality0-WarpedToTemplate.nii.gz,0.9814256707627176,0.0065996565782075545,0.9262898848175655
phase2-1,phase2-1_input0086-modality0-WarpedToTemplate.nii.gz,0.9801293721756037,0.007443003391997838,0.9269789279615778
phase2-1,phase2-1_input0054-modality0-WarpedToTemplate.nii.gz,0.9776527387118432,0.006384318390857438,0.9252684123424717
phase2-1,phase2-1_input0036-modality0-WarpedToTemplate.nii.gz,0.9819222294939779,0.002719655739582901,0.936918767710674
phase2-1,phase2-1_input0060-modality0-WarpedToTemplate.nii.gz,0.9812398224938585,0.020229288452740253,0.8810878084351684
phase2-1,phase2-1_input0002-modality0-WarpedToTemplate.nii.gz,0.9802335826154408,0.009669361833929123,0.9169494860607171
phase2-1,phase2-1_input0071-modality0-WarpedToTemplate.nii.gz,0.9792539143534744,0.02153594160616057,0.869594719668669
phase2-1,phase2-1_input0013-modality0-WarpedToTemplate.nii.gz,0.9792831441546055,0.029267026629468677,0.8412033514883172
phase2-1,phase2-1_input0063-modality0-WarpedToTemplate.nii.gz,0.982353760570815,0.022905762348525035,0.8663215812615082
phase2-1,phase2-1_input0001-modality0-WarpedToTemplate.nii.gz,0.9819515221598599,0.004107626689151544,0.9392857306498301
phase2-1,phase2-1_input0072-modality0-WarpedToTemplate.nii.gz,0.9827137870275532,0.01586191721730947,0.8950674720511889
phase2-1,phase2-1_input0010-modality0-WarpedToTemplate.nii.gz,0.9806808437123932,0.016553633117576776,0.8940247289933541
phase2-1,phase2-1_input0046-modality0-WarpedToTemplate.nii.gz,0.9798366697294176,0.010432205267308248,0.9131514634120464
phase2-1,phase2-1_input0085-modality0-WarpedToTemplate.nii.gz,0.9799460229400996,0.02053850481098112,0.8807253932065038
phase2-1,phase2-1_input0024-modality0-WarpedToTemplate.nii.gz,0.9828434743329476,0.020421513387628615,0.8818850251661978
phase2-1,phase2-1_input0057-modality0-WarpedToTemplate.nii.gz,0.9825726974248076,0.010126519388087039,0.9196441966478576
phase2-1,phase2-1_input0035-modality0-WarpedToTemplate.nii.gz,0.9849766229085516,0.009933844501532407,0.9215333755428151
